Parameter,Example,Description,Type,Min,Max,Default
Cost_To_Consumer,[link](../json/campaign-simplevaccine_Cost_To_Consumer.json),The unit cost per vaccine (unamortized).,float,0,999999,10
Disqualifying_Properties,[link](../json/campaign-simplevaccine_Disqualifying_Properties.json),"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See  parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",array of strings,NA,NA,[]
Dont_Allow_Duplicates,[link](../json/campaign-simplevaccine_Dont_Allow_Duplicates.json),"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",boolean,0,1,0
Efficacy_Is_Multiplicative,[link](../json/campaign-simplevaccine_Efficacy_Is_Multiplicative.json),"The overall vaccine efficacy when individuals receive more than one vaccine. When set to true (1), the vaccine efficacies are multiplied together; when set to false (0), the efficacies are additive.",boolean,0,1,1
Event_Or_Config,[link](../json/campaign-simplevaccine_Event_Or_Config.json),"Specifies whether the current intervention (or a positive diagnosis, depending on the intervention class) distributes a nested intervention (the Config option) or an event will be broadcast which may trigger other interventions in the campaign file (the Event option). <br>Possible values are:<br>* Event<br>* Config",enum,NA,NA,Config
Intervention_Name,[link](../json/campaign-simplevaccine_Intervention_Name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,string,NA,NA,NA
New_Property_Value,[link](../json/campaign-simplevaccine_New_Property_Value.json),"An optional **IndividualProperty** key:value pair that will be assigned when the intervention is distributed. See  parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.",string,NA,NA,NA
Vaccine_Take,[link](../json/campaign-simplevaccine_Vaccine_Take.json),"The rate at which delivered vaccines will successfully stimulate an immune response and achieve the desired efficacy. For example, if it is set to 0.9, there will be a 90 percent chance that the vaccine will start with the specified efficacy, and a 10 percent chance that it will have no efficacy at all.",float,0,1,1
Vaccine_Type,[link](../json/campaign-simplevaccine_Vaccine_Type.json),"The type of vaccine to distribute in a vaccine intervention. <br>Possible values are:<br>Generic<br>    The vaccine can reduce transmission, acquisition, and mortality.<br>TransmissionBlocking<br>    The vaccine will reduce pathogen transmission.<br>AcquisitionBlocking<br>    The vaccine will reduce the acquisition of the pathogen by reducing the force of infection experienced by the vaccinated individual.<br>MortalityBlocking<br>    The vaccine reduces the disease-mortality rate of a vaccinated individual.",enum,NA,NA,Generic
Waning_Config,[link](../json/campaign-simplevaccine_Waning_Config.json),The configuration of how the intervention efficacy wanes over time. Specify how this effect decays over time using one of the [Waning effect classes](../md_parameter/parameter-campaign-waningeffects.md).,JSON object,NA,NA,NA
